date,category,quantity_sold
2025-01-01,fish,93.57901763916016
2025-01-01,meat,118.43730926513672
2025-01-01,vegetable,522.3090515136719
2025-01-02,fish,92.03535461425781
2025-01-02,meat,118.77460861206055
2025-01-02,vegetable,517.7367324829102
2025-01-03,fish,93.17193222045898
2025-01-03,meat,115.97873306274414
2025-01-03,vegetable,520.7080841064453
2025-01-04,fish,112.56764602661133
2025-01-04,meat,149.24935150146484
2025-01-04,vegetable,656.8409652709961
2025-01-05,fish,118.75858688354492
2025-01-05,meat,147.49000549316406
2025-01-05,vegetable,653.0661087036133
2025-01-06,fish,97.71491622924805
2025-01-06,meat,120.66802978515625
2025-01-06,vegetable,518.8927383422852
2025-01-07,fish,92.57013702392578
2025-01-07,meat,120.65335464477539
2025-01-07,vegetable,517.7896194458008
2025-01-08,fish,91.12788772583008
2025-01-08,meat,122.2229995727539
2025-01-08,vegetable,514.5073852539062
2025-01-09,fish,93.42633438110352
2025-01-09,meat,127.84984970092773
2025-01-09,vegetable,514.2057952880859
2025-01-10,fish,93.14417266845703
2025-01-10,meat,117.9108657836914
2025-01-10,vegetable,514.0544204711914
2025-01-11,fish,116.40861892700195
2025-01-11,meat,143.43915176391602
2025-01-11,vegetable,659.5454177856445
2025-01-12,fish,113.06725311279297
2025-01-12,meat,144.30415725708008
2025-01-12,vegetable,658.0720748901367
2025-01-13,fish,95.25985336303711
2025-01-13,meat,117.74475860595703
2025-01-13,vegetable,518.1240310668945
2025-01-14,fish,97.42184448242188
2025-01-14,meat,107.62641143798828
2025-01-14,vegetable,516.6659851074219
2025-01-15,fish,95.74827194213867
2025-01-15,meat,112.06941604614258
2025-01-15,vegetable,516.3604736328125
2025-01-16,fish,102.581298828125
2025-01-16,meat,113.94770812988281
2025-01-16,vegetable,518.8778228759766
2025-01-17,fish,95.03796768188477
2025-01-17,meat,114.71022415161133
2025-01-17,vegetable,515.5196380615234
2025-01-18,fish,119.22906112670898
2025-01-18,meat,146.49259185791016
2025-01-18,vegetable,660.8290100097656
2025-01-19,fish,118.9481086730957
2025-01-19,meat,146.28460311889648
2025-01-19,vegetable,660.732666015625
2025-01-20,fish,101.99285507202148
2025-01-20,meat,117.72281265258789
2025-01-20,vegetable,522.0124664306641
2025-01-21,fish,95.81938934326172
2025-01-21,meat,115.86970138549805
2025-01-21,vegetable,519.1815338134766
2025-01-22,fish,104.0994873046875
2025-01-22,meat,117.09784698486328
2025-01-22,vegetable,517.8599243164062
2025-01-23,fish,106.10930633544922
2025-01-23,meat,117.88573455810547
2025-01-23,vegetable,520.5001449584961
2025-01-24,fish,106.90633773803711
2025-01-24,meat,116.05481719970703
2025-01-24,vegetable,519.4167556762695
2025-01-25,fish,128.5937156677246
2025-01-25,meat,142.4455108642578
2025-01-25,vegetable,664.3051452636719
2025-01-26,fish,129.46746444702148
2025-01-26,meat,143.12625885009766
2025-01-26,vegetable,664.6583251953125
2025-01-27,fish,107.46058654785156
2025-01-27,meat,115.31330108642578
2025-01-27,vegetable,521.9182815551758
2025-01-28,fish,105.3607006072998
2025-01-28,meat,114.86783218383789
2025-01-28,vegetable,520.9034957885742
2025-01-29,fish,111.08528900146484
2025-01-29,meat,117.38002014160156
2025-01-29,vegetable,519.4929885864258
2025-01-30,fish,108.29496002197266
2025-01-30,meat,117.31208801269531
2025-01-30,vegetable,520.6990280151367
