date,category,quantity_sold
2025-01-01,fish,147.556396484375
2025-01-01,meat,151.19532012939453
2025-01-01,vegetable,318.08289337158203
2025-01-02,fish,145.9957733154297
2025-01-02,meat,150.31998443603516
2025-01-02,vegetable,322.1668167114258
2025-01-03,fish,146.27799224853516
2025-01-03,meat,151.8065643310547
2025-01-03,vegetable,323.4409408569336
2025-01-04,fish,146.81080627441406
2025-01-04,meat,149.1227569580078
2025-01-04,vegetable,314.6516876220703
2025-01-05,fish,145.26666259765625
2025-01-05,meat,150.57049560546875
2025-01-05,vegetable,321.13055419921875
2025-01-06,fish,143.74549102783203
2025-01-06,meat,147.52507781982422
2025-01-06,vegetable,313.14661407470703
2025-01-07,fish,145.30003356933594
2025-01-07,meat,149.3518295288086
2025-01-07,vegetable,316.4676208496094
2025-01-08,fish,144.78713989257812
2025-01-08,meat,148.57029724121094
2025-01-08,vegetable,313.6659622192383
2025-01-09,fish,144.97896575927734
2025-01-09,meat,148.2827377319336
2025-01-09,vegetable,316.277099609375
2025-01-10,fish,145.0561294555664
2025-01-10,meat,147.9722137451172
2025-01-10,vegetable,319.6903610229492
2025-01-11,fish,144.5159912109375
2025-01-11,meat,149.4228515625
2025-01-11,vegetable,317.43359375
2025-01-12,fish,144.7344970703125
2025-01-12,meat,148.24046325683594
2025-01-12,vegetable,315.71228790283203
2025-01-13,fish,143.1692886352539
2025-01-13,meat,150.0867462158203
2025-01-13,vegetable,317.8809356689453
2025-01-14,fish,143.10736083984375
2025-01-14,meat,149.8560791015625
2025-01-14,vegetable,318.05481719970703
2025-01-15,fish,143.1587905883789
2025-01-15,meat,148.059326171875
2025-01-15,vegetable,316.2319641113281
2025-01-16,fish,142.0558319091797
2025-01-16,meat,146.05923461914062
2025-01-16,vegetable,321.1838912963867
2025-01-17,fish,143.29544830322266
2025-01-17,meat,145.44342041015625
2025-01-17,vegetable,316.10726165771484
2025-01-18,fish,142.0558319091797
2025-01-18,meat,146.2107925415039
2025-01-18,vegetable,316.77760314941406
2025-01-19,fish,143.89004516601562
2025-01-19,meat,147.15599060058594
2025-01-19,vegetable,319.2151565551758
2025-01-20,fish,144.2620086669922
2025-01-20,meat,144.9457778930664
2025-01-20,vegetable,317.32784271240234
2025-01-21,fish,142.0558319091797
2025-01-21,meat,146.93312072753906
2025-01-21,vegetable,312.1509704589844
2025-01-22,fish,143.18340301513672
2025-01-22,meat,145.6869125366211
2025-01-22,vegetable,312.0880432128906
2025-01-23,fish,144.14337158203125
2025-01-23,meat,147.5135040283203
2025-01-23,vegetable,313.13011169433594
2025-01-24,fish,143.94363403320312
2025-01-24,meat,146.12428283691406
2025-01-24,vegetable,313.07212829589844
2025-01-25,fish,143.59620666503906
2025-01-25,meat,144.765380859375
2025-01-25,vegetable,316.95946502685547
2025-01-26,fish,142.3499984741211
2025-01-26,meat,146.7325668334961
2025-01-26,vegetable,317.516357421875
2025-01-27,fish,143.89004516601562
2025-01-27,meat,147.27024841308594
2025-01-27,vegetable,315.51226806640625
2025-01-28,fish,145.80137634277344
2025-01-28,meat,146.83344268798828
2025-01-28,vegetable,319.67750549316406
2025-01-29,fish,144.82720184326172
2025-01-29,meat,145.95919799804688
2025-01-29,vegetable,320.33556365966797
2025-01-30,fish,143.42041015625
2025-01-30,meat,146.1317367553711
2025-01-30,vegetable,318.2219696044922
