date,category,quantity_sold
2025-01-01,fish,147.556396484375
2025-01-01,meat,151.19532012939453
2025-01-01,vegetable,318.08289337158203
2025-01-02,fish,145.9957733154297
2025-01-02,meat,150.31998443603516
2025-01-02,vegetable,322.1668167114258
2025-01-03,fish,146.27799224853516
2025-01-03,meat,151.8065643310547
2025-01-03,vegetable,323.4409408569336
2025-01-04,fish,146.81080627441406
2025-01-04,meat,149.1227569580078
2025-01-04,vegetable,314.6516876220703
2025-01-05,fish,145.26666259765625
2025-01-05,meat,150.57049560546875
2025-01-05,vegetable,321.13055419921875
2025-01-06,fish,143.74549102783203
2025-01-06,meat,147.52507781982422
2025-01-06,vegetable,313.14661407470703
2025-01-07,fish,145.30003356933594
2025-01-07,meat,149.3518295288086
2025-01-07,vegetable,316.4676208496094
2025-01-08,fish,144.78713989257812
2025-01-08,meat,148.57029724121094
2025-01-08,vegetable,313.6659622192383
2025-01-09,fish,144.97896575927734
2025-01-09,meat,148.2827377319336
2025-01-09,vegetable,316.277099609375
2025-01-10,fish,145.0561294555664
2025-01-10,meat,147.9722137451172
2025-01-10,vegetable,319.6903610229492
2025-01-11,fish,144.5159912109375
2025-01-11,meat,149.4228515625
2025-01-11,vegetable,317.43359375
2025-01-12,fish,144.7344970703125
2025-01-12,meat,148.24046325683594
2025-01-12,vegetable,315.71228790283203
2025-01-13,fish,143.1692886352539
2025-01-13,meat,150.0867462158203
2025-01-13,vegetable,317.8809356689453
2025-01-14,fish,143.10736083984375
2025-01-14,meat,149.8560791015625
2025-01-14,vegetable,318.05481719970703
